symbol,ensembl_transcript_id
TP53,ENST00000269305
BRCA1,ENST00000357654
BRCA2,ENST00000380152
EGFR,ENST00000275493
MYC,ENST00000621592
KRAS,ENST00000311936
PIK3CA,ENST00000263967
APC,ENST00000257430
PTEN,ENST00000371953
RB1,ENST00000267163
VHL,ENST00000256474
MLH1,ENST00000231790
MSH2,ENST00000233146
ATM,ENST00000675843
CHEK2,ENST00000404276
PALB2,ENST00000261584
CDH1,ENST00000261769
STK11,ENST00000326873
SMAD4,ENST00000342988
DCC,ENST00000442544
NF1,ENST00000358273
NF2,ENST00000338641
TSC1,ENST00000298552
TSC2,ENST00000219476
CDKN2A,ENST00000304494
MDM2,ENST00000258149
ERBB2,ENST00000269571
ALK,ENST00000389048
RET,ENST00000355710
MET,ENST00000397752
FGFR1,ENST00000447712
FGFR2,ENST00000358487
FGFR3,ENST00000440486
PDGFRA,ENST00000257290
KIT,ENST00000288135
FLT3,ENST00000241453
JAK2,ENST00000381652
NOTCH1,ENST00000651671
CTNNB1,ENST00000349496
ARID1A,ENST00000324856
PIK3R1,ENST00000521381
FBXW7,ENST00000281708
NRAS,ENST00000369535
HRAS,ENST00000311189
BRAF,ENST00000646891
MAPK1,ENST00000215832
MAPK3,ENST00000263025
AKT1,ENST00000649815
AKT2,ENST00000392038
GAPDH,ENST00000229239
ACTB,ENST00000646664
TUBB,ENST00000327892
YWHAZ,ENST00000395958
B2M,ENST00000648006
HPRT1,ENST00000298556
TBP,ENST00000392092
GUSB,ENST00000304895
PGK1,ENST00000373316
RPLP0,ENST00000392514
RPL13A,ENST00000391857
SDHA,ENST00000264932
UBC,ENST00000339647
CYC1,ENST00000318911
EIF4A2,ENST00000323963
PPIA,ENST00000468812
RPL32,ENST00000429711
HMBS,ENST00000652429
TFRC,ENST00000360110
TOP1,ENST00000361337
ABCB1,ENST00000622132
ABCC1,ENST00000399410
ABCG2,ENST00000237612
CYP1A1,ENST00000379727
CYP1A2,ENST00000343932
CYP2C9,ENST00000260682
CYP2C19,ENST00000371321
CYP2D6,ENST00000645361
CYP3A4,ENST00000651514
UGT1A1,ENST00000305208
GSTP1,ENST00000398606
GSTM1,ENST00000309851
GSTT1,ENST00000612885
DPYD,ENST00000370192
TPMT,ENST00000309983
COMT,ENST00000361682
MTHFR,ENST00000376590
TYMS,ENST00000323274
ERCC1,ENST00000300853
XRCC1,ENST00000262887
CD19,ENST00000538922
CD20,ENST00000265598
CD3E,ENST00000361763
CD4,ENST00000011653
CD8A,ENST00000283635
FOXP3,ENST00000376207
IL2,ENST00000226730
IL10,ENST00000423557
TNF,ENST00000449264
IFNG,ENST00000229135
VEGFA,ENST00000672860
INS,ENST00000381330
