symbol,ensembl_gene_id
TP53,ENSG00000264031
BRCA1,ENSG00000012048
BRCA2,ENSG00000139618
EGFR,ENSG00000102755
MYC,ENSG00000186615
KRAS,ENSG00000133703
PIK3CA,ENSG00000121879
APC,ENSG00000148468
PTEN,ENSG00000289051
RB1,ENSG00000105447
VHL,ENSG00000134086
MLH1,ENSG00000076242
MSH2,ENSG00000095002
ATM,ENSG00000131269
CHEK2,ENSG00000183765
PALB2,ENSG00000083093
CDH1,ENSG00000105325
STK11,ENSG00000118046
SMAD4,ENSG00000141646
DCC,ENSG00000067141
NF1,ENSG00000137460
NF2,ENSG00000178342
TSC1,ENSG00000165699
TSC2,ENSG00000172073
CDKN2A,ENSG00000147889
MDM2,ENSG00000135679
ERBB2,ENSG00000141736
ALK,ENSG00000177076
RET,ENSG00000151892
MET,ENSG00000154734
FGFR1,ENSG00000077782
FGFR2,ENSG00000066468
FGFR3,ENSG00000068078
PDGFRA,ENSG00000134853
KIT,ENSG00000157404
FLT3,ENSG00000122025
JAK2,ENSG00000096968
NOTCH1,ENSG00000148400
CTNNB1,ENSG00000122591
ARID1A,ENSG00000117713
PIK3R1,ENSG00000145675
FBXW7,ENSG00000109670
NRAS,ENSG00000213281
HRAS,ENSG00000174775
BRAF,ENSG00000064961
MAPK1,ENSG00000100030
MAPK3,ENSG00000102882
AKT1,ENSG00000142208
AKT2,ENSG00000105221
GAPDH,ENSG00000111640
ACTB,ENSG00000075624
TUBB,ENSG00000196230
YWHAZ,ENSG00000164924
B2M,ENSG00000166710
HPRT1,ENSG00000165704
TBP,ENSG00000220267
GUSB,ENSG00000169919
PGK1,ENSG00000102144
RPLP0,ENSG00000089157
RPL13A,ENSG00000142541
SDHA,ENSG00000073578
UBC,ENSG00000166233
CYC1,ENSG00000179091
EIF4A2,ENSG00000156976
PPIA,ENSG00000088832
RPL32,ENSG00000144713
HMBS,ENSG00000256269
TFRC,ENSG00000106327
TOP1,ENSG00000226648
ABCB1,ENSG00000085563
ABCC1,ENSG00000103222
ABCG2,ENSG00000118777
CYP1A1,ENSG00000140465
CYP1A2,ENSG00000140505
CYP2C9,ENSG00000138109
CYP2C19,ENSG00000165841
CYP2D6,ENSG00000100197
CYP3A4,ENSG00000160868
UGT1A1,ENSG00000241635
GSTP1,ENSG00000084207
GSTM1,ENSG00000134184
GSTT1,ENSG00000277656
DPYD,ENSG00000188641
TPMT,ENSG00000137364
COMT,ENSG00000284922
MTHFR,ENSG00000177000
TYMS,ENSG00000176890
ERCC1,ENSG00000119638
XRCC1,ENSG00000139618
CD19,ENSG00000163823
CD20,ENSG00000078081
CD3E,ENSG00000198851
CD4,ENSG00000185245
CD8A,ENSG00000153563
FOXP3,ENSG00000049768
IL2,ENSG00000197110
IL10,ENSG00000136634
TNF,ENSG00000226979
IFNG,ENSG00000163565
VEGFA,ENSG00000112715
INS,ENSG00000111206
